,Model,Acc@1,Acc@5,Params (M),GFLOPS
32,MobileNet_V3_Small_Weights.IMAGENET1K_V1,67.668,87.402,2.5,0.06
23,MNASNet0_5_Weights.IMAGENET1K_V1,67.734,87.49,2.2,0.1
24,MNASNet0_75_Weights.IMAGENET1K_V1,71.18,90.496,3.2,0.21
30,MobileNet_V3_Large_Weights.IMAGENET1K_V1,74.042,91.34,5.5,0.22
31,MobileNet_V3_Large_Weights.IMAGENET1K_V2,75.274,92.566,5.5,0.22
29,MobileNet_V2_Weights.IMAGENET1K_V2,72.154,90.822,3.5,0.3
28,MobileNet_V2_Weights.IMAGENET1K_V1,71.878,90.286,3.5,0.3
25,MNASNet1_0_Weights.IMAGENET1K_V1,73.456,91.51,4.4,0.31
9,EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3,0.39
26,MNASNet1_3_Weights.IMAGENET1K_V1,76.506,93.522,6.3,0.53
10,EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8,0.69
11,EfficientNet_B1_Weights.IMAGENET1K_V2,79.838,94.934,7.8,0.69
0,AlexNet_Weights.IMAGENET1K_V1,56.522,79.066,61.1,0.71
12,EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1,1.09
21,GoogLeNet_Weights.IMAGENET1K_V1,69.778,89.53,6.6,1.5
13,EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2,1.83
5,DenseNet121_Weights.IMAGENET1K_V1,74.434,91.972,8.0,2.83
7,DenseNet169_Weights.IMAGENET1K_V1,75.6,92.806,14.1,3.36
8,DenseNet201_Weights.IMAGENET1K_V1,76.896,93.37,20.0,4.29
14,EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3,4.39
4,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6,4.46
27,MaxVit_T_Weights.IMAGENET1K_V1,83.7,96.722,30.9,5.56
22,Inception_V3_Weights.IMAGENET1K_V1,77.294,93.45,27.2,5.71
6,DenseNet161_Weights.IMAGENET1K_V1,77.138,93.56,28.7,7.73
20,EfficientNet_V2_S_Weights.IMAGENET1K_V1,84.228,96.878,21.5,8.37
